SAVEA,31
ERNSH,30
QUICK,28
FOLKO,19
HUNGO,19
BERGS,18
HILAA,18
RATTC,18
BONAP,17
FRANK,15
LEHMS,15
WARTH,15
BOTTM,14
HANAR,14
KOENE,14
LAMAI,14
LILAS,14
WHITC,14
AROUT,13
MEREP,13
QUEEN,13
LINOD,12
REGGC,12
SUPRD,12
BLONP,11
GREAL,11
RICAR,11
VAFFE,11
BSBEV,10
GODOS,10
ISLAT,10
MAGAA,10
OLDWO,10
OTTIK,10
PICCO,10
RICSU,10
TORTU,10
VICTE,10
WANDK,10
GOURL,9
QUEDE,9
SEVES,9
SPLIR,9
WELLI,9
CHOPS,8
EASTC,8
FURIB,8
LONEP,8
ANTON,7
BLAUS,7
FAMIA,7
MAISD,7
SIMOB,7
WILMK,7
WOLZA,7
ALFKI,6
CACTU,6
DRACD,6
FRANS,6
PERIC,6
SANTG,6
TOMSP,6
TRADH,6
COMMI,5
FOLIG,5
GALED,5
HUNGC,5
MORGK,5
OCEAN,5
PRINI,5
RANCH,5
ROMEY,5
VINET,5
ANATR,4
DUMON,4
LACOR,4
LETSS,4
SPECD,4
THEBI,4
BOLID,3
CONSH,3
FRANR,3
LAUGB,3
NORTS,3
THECR,3
TRAIH,3
GROSR,2
LAZYK,2
CENTC,1
